name,address,latitude,longitude,category_large,category_small,source_file
남산타운5상가,서울특별시 중구 다산로 32 (신당동),37.5471505540187,127.005706247221,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
남산타운2상가,서울특별시 중구 다산로 32 (신당동),37.5471505540187,127.005706247221,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
하이해리엇,서울특별시 중구 퇴계로 123 (충무로2가),37.5612658980395,126.985364301804,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
올레오,서울특별시 중구 마장로1길 22 (신당동),37.5688944975891,127.012687655618,생활/편의,쇼핑센터,large_scale_shop_seoul_cleaned.csv
맥스타일,서울특별시 중구 마장로 3 (신당동),37.5687984821779,127.010543979771,생활/편의,전문점,large_scale_shop_seoul_cleaned.csv
통일상가,서울특별시 중구 장충단로13길 20 (을지로6가),37.568734553218,127.007666479829,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
제일평화시장,서울특별시 중구 마장로 13 (신당동),37.5685143185042,127.011402056802,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
(주)지에스리테일 남산타운점,서울특별시 중구 다산로 32 (신당동),37.5471505540187,127.005706247221,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
롯데아울렛 서울역점,서울특별시 중구 한강대로 405 (봉래동2가),37.5547278494914,126.969526329341,생활/편의,쇼핑센터,large_scale_shop_seoul_cleaned.csv
롯데아울렛 서울역점,서울특별시 중구 한강대로 405 (봉래동2가),37.5547278494914,126.969526329341,생활/편의,쇼핑센터,large_scale_shop_seoul_cleaned.csv
(주)광희패션몰,서울특별시 중구 마장로1길 21 (신당동),37.5686729331271,127.011915526088,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
던던 동대문점,서울특별시 중구 을지로 264 (을지로6가),37.5657600422078,127.007079629799,생활/편의,쇼핑센터,large_scale_shop_seoul_cleaned.csv
두타몰,서울특별시 중구 장충단로 275 (을지로6가),37.5688849422849,127.008775114213,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
밀리오레,서울특별시 중구 장충단로 263 (을지로6가),37.5681156942942,127.008472686741,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
굳앤굳 디자이너월드,서울특별시 중구 남대문로 30 (남창동),37.5608015611863,126.979035172447,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
남평화상가(주),서울특별시 중구 장충단로 282-10 (신당동),37.5691711976069,127.010835959946,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
호텔롯데아케이드,"서울특별시 중구 을지로 30 (소공동, 롯데호텔)",37.5653458904198,126.9810075639,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
에이피엠패션몰,서울특별시 중구 마장로 40 (신당동),37.5677236816149,127.014033422257,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
청계상가,"서울특별시 중구 청계천로 160, 세운청계상가 (산림동)",37.5679798569884,126.995365114169,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
동화상가,서울특별시 중구 장충단로13길 34 (을지로6가),37.5686048564303,127.006912033436,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
누죤,서울특별시 중구 을지로45길 62 (신당동),37.5669477713142,127.013008334406,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
중부시장,서울특별시 중구 을지로36길 35 (오장동),37.5650634087053,127.001905065624,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
디자이너크럽,서울특별시 중구 을지로45길 72 (신당동),37.5674049296835,127.013071008776,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
선싸인,서울특별시 중구 명동8가길 27 (충무로2가),37.5620005331406,126.986563787577,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
혜양엘리시움,서울특별시 중구 마장로1길 18 (신당동),37.5686635839046,127.012580309153,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
삼익패션타운,서울특별시 중구 남대문시장8길 7 (남창동),37.5604352919962,126.978956614349,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
남정종합상가,서울특별시 중구 소월로 9 (남창동),37.5587248091762,126.976413639153,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
에이피엠플레이스,"서울특별시 중구 을지로 276 (을지로7가, apMPLACE)",37.5653191861991,127.00843026396,생활/편의,쇼핑센터,large_scale_shop_seoul_cleaned.csv
홈플러스익스프레스 신당점,서울특별시 중구 다산로 222 (신당동),37.5628525208577,127.015591399432,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
DDP FASHION MALL,"서울특별시 중구 마장로 22 (신당동, DDP FASHION MALL)",37.5673019564133,127.012127880945,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
서울중앙시장,서울특별시 중구 퇴계로85길 22 (황학동),37.5667766312392,127.019789660436,생활/편의,시장,large_scale_shop_seoul_cleaned.csv
헬로우에이피엠,서울특별시 중구 장충단로 253 (을지로6가),37.567487097159,127.008078935255,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
청평화시장,서울특별시 중구 청계천로 334 (신당동),37.5694666369551,127.014936475931,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
디오트,서울특별시 중구 다산로 293 (신당동),37.5691596607746,127.014991766546,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
지에스수퍼마켓 중구만리점,"서울특별시 중구 만리재로 175, 401동 9,10,11호 (만리동2가)",37.5547908528642,126.964454371144,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
주식회사 이마트 청계천점,서울특별시 중구 청계천로 400-0 (황학동),37.5708105464699,127.021463886656,생활/편의,대형마트,large_scale_shop_seoul_cleaned.csv
베네치아메가몰,서울특별시 중구 청계천로 400 (황학동),37.5708105464699,127.021463886656,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
엠플라자(M plaza),"서울특별시 중구 명동8길 27 (명동2가, 엠 플라자)",37.5625312330845,126.985166774442,생활/편의,쇼핑센터,large_scale_shop_seoul_cleaned.csv
평화시장,서울특별시 중구  청계천로  274 (을지로6가),37.5694258617472,127.00804756339,생활/편의,시장,large_scale_shop_seoul_cleaned.csv
눈스퀘어,서울특별시 중구 명동길 14 (명동2가),37.5634116488196,126.98288772495,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
센터포인트 명동,서울 중구 남대문로 84,37.5646814161054,126.98284068814,생활/편의,쇼핑센터,large_scale_shop_seoul_cleaned.csv
