name,address,latitude,longitude,category_large,category_small,source_file
서울역사박물관.경희궁앞,,37.56951198,126.970759,bus,bus,bus_station_seoul_cleaned.csv
광화문역,,37.57014168,126.9763534,bus,bus,bus_station_seoul_cleaned.csv
광화문역,,37.57023966,126.9778803,bus,bus,bus_station_seoul_cleaned.csv
종로1가,,37.57014825,126.9810661,bus,bus,bus_station_seoul_cleaned.csv
종로1가,,37.57027101,126.9816283,bus,bus,bus_station_seoul_cleaned.csv
종로2가,,37.57017238,126.9849903,bus,bus,bus_station_seoul_cleaned.csv
종로2가,,37.57023789,126.9865354,bus,bus,bus_station_seoul_cleaned.csv
종로3가.탑골공원,,37.57020889,126.9893256,bus,bus,bus_station_seoul_cleaned.csv
종로3가.탑골공원,,37.57036054,126.9899878,bus,bus,bus_station_seoul_cleaned.csv
종로4가.종묘,,37.570507,126.9947219,bus,bus,bus_station_seoul_cleaned.csv
종로4가.종묘,,37.570635,126.9953957,bus,bus,bus_station_seoul_cleaned.csv
종로5가.광장시장,,37.570786,126.9990605,bus,bus,bus_station_seoul_cleaned.csv
종로5가.광장시장,,37.57093017,126.9996038,bus,bus,bus_station_seoul_cleaned.csv
종로6가.동대문종합시장,,37.57101117,127.0044628,bus,bus,bus_station_seoul_cleaned.csv
종로6가.동대문종합시장,,37.57112723,127.0057137,bus,bus,bus_station_seoul_cleaned.csv
동대문역.흥인지문,,37.57244754,127.0138159,bus,bus,bus_station_seoul_cleaned.csv
동대문역.흥인지문,,37.57215245,127.0124191,bus,bus,bus_station_seoul_cleaned.csv
동묘앞.서울혜화경찰서,,37.57383216,127.0186103,bus,bus,bus_station_seoul_cleaned.csv
동묘앞.서울혜화경찰서,,37.57424646,127.0195528,bus,bus,bus_station_seoul_cleaned.csv
경기상고,,37.58755022,126.9693635,bus,bus,bus_station_seoul_cleaned.csv
신교동,,37.58329552,126.9702627,bus,bus,bus_station_seoul_cleaned.csv
경기상고,,37.58719079,126.9697701,bus,bus,bus_station_seoul_cleaned.csv
경복고교,,37.58516003,126.9708802,bus,bus,bus_station_seoul_cleaned.csv
청운중학교,,37.58781058,126.9726741,bus,bus,bus_station_seoul_cleaned.csv
자하문고개.윤동주문학관,,37.59218662,126.9671262,bus,bus,bus_station_seoul_cleaned.csv
자하문고개.윤동주문학관,,37.59233532,126.9671907,bus,bus,bus_station_seoul_cleaned.csv
청운중학교,,37.58842196,126.9722631,bus,bus,bus_station_seoul_cleaned.csv
경복고교,,37.5850633,126.9714039,bus,bus,bus_station_seoul_cleaned.csv
통인시장종로구보건소,,37.5803257,126.97105,bus,bus,bus_station_seoul_cleaned.csv
통인시장종로구보건소,,37.58051321,126.9713851,bus,bus,bus_station_seoul_cleaned.csv
효자동,,37.58309104,126.970621,bus,bus,bus_station_seoul_cleaned.csv
사직단.어린이도서관,,37.57513553,126.9679907,bus,bus,bus_station_seoul_cleaned.csv
경복궁역1번출구,,37.57616149,126.9714158,bus,bus,bus_station_seoul_cleaned.csv
경복궁역2번출구,,37.57704014,126.9721994,bus,bus,bus_station_seoul_cleaned.csv
경복궁역3번출구,,37.57767139,126.9722829,bus,bus,bus_station_seoul_cleaned.csv
경복궁,,37.57557679,126.9787471,bus,bus,bus_station_seoul_cleaned.csv
광화문역2번출구.KT광화문지사,,37.57232093,126.9774163,bus,bus,bus_station_seoul_cleaned.csv
영추문,,37.57893039,126.9739818,bus,bus,bus_station_seoul_cleaned.csv
광화문역6번출구,,37.57004483,126.9764072,bus,bus,bus_station_seoul_cleaned.csv
서울역사박물관.강북삼성병원,,37.570023,126.971248,bus,bus,bus_station_seoul_cleaned.csv
새문안교회,,37.57033689,126.9728386,bus,bus,bus_station_seoul_cleaned.csv
광화문역7번출구,,37.570365,126.975837,bus,bus,bus_station_seoul_cleaned.csv
세종문화회관,,37.57364893,126.9769976,bus,bus,bus_station_seoul_cleaned.csv
서울경찰청.경복궁역,,37.57574466,126.9714843,bus,bus,bus_station_seoul_cleaned.csv
