상호명,주소,카테고리_대,카테고리_소,위도,경도
이에이치필라테스더필라테스구,서울특별시 종로구 경희궁2길 9-3 9,운동 시설,요가/필라테스 학원,37.5730754841446,126.971020792759
월드스크린골프,서울특별시 동대문구 한천로 43 43 리더스빌딩,운동 시설,골프 연습장,37.5659543645727,127.061122193501
세븐중구스카이점,서울특별시 중구 퇴계로 139 139 충무로2가청방빌딩,생활/편의,편의점,37.5614735206715,126.987199062257
스카이탁구클럽,서울특별시 영등포구 가마산로 333 333 유현빌딩,운동 시설,탁구장,37.4994397867876,126.896286297859
강동성모내과의원,서울특별시 강동구 올림픽로 806 806 까사팔공육,의료,내과/소아과 의원,37.5529255447301,127.128832182372
키움남성비뇨기과의원,서울특별시 노원구 노해로 480 480,의료,피부/비뇨기과 의원,37.654179061449,127.061432415116
경동슈퍼,서울특별시 성북구 보문로29가길 37 37,생활/편의,슈퍼마켓,37.5884489725382,127.015534237807
벽산미래세탁,서울특별시 동대문구 약령시로 25 25 안암골벽산아파트,생활/편의,세탁소,37.5831478993372,127.031700277738
워시엔조이셀프빨래방은평,서울특별시 은평구 연서로3가길 14 14,생활/편의,셀프 빨래방,37.6035379467084,126.914895509137
미니스톱수유인텔리안점,서울특별시 강북구 도봉로 313 313 효성인텔리안오피스텔,생활/편의,편의점,37.6364433415467,127.023463621132
마마운동화이불빨래방,서울특별시 은평구 갈현로 242 242 뉴페리온,생활/편의,셀프 빨래방,37.6185216485641,126.915252220544
남경마트,서울특별시 강북구 한천로130길 16 16,생활/편의,슈퍼마켓,37.6384148161149,127.030783362026
마음자람정신건강의학과의원,서울특별시 강남구 도곡로51길 4 4 역삼훼미리,의료,신경/정신과 의원,37.4955824638818,127.049813042173
현대세탁소,서울특별시 송파구 오금로23길 25 25 대성빌딩,생활/편의,세탁소,37.5107622209504,127.116793086493
고려대유신태권도장,서울특별시 광진구 광나루로54길 32 32 하나빌딩,운동 시설,태권도/무술학원,37.5394695699606,127.095113210699
OK세탁,서울특별시 구로구 목동남로 30 30,생활/편의,세탁소,37.5078126561425,126.863350914781
낙성대,서울특별시 관악구 낙성대로 42 42,운동 시설,골프 연습장,37.4740874485907,126.958024325576
광장세탁소,서울특별시 송파구 토성로 38-6 38 한강극동아파트,생활/편의,세탁소,37.5294606936193,127.114061764647
이펜세탁소,서울특별시 구로구 천왕로 10 10 천왕이펜하우스5단지,생활/편의,세탁소,37.4807290376925,126.842167493915
배우상사,서울특별시 동대문구 정릉천동로 115 115 명칭없음,생활/편의,슈퍼마켓,37.5825340864196,127.035685162397
와큐아이스크림할인점,서울특별시 은평구 가좌로11길 9 9,생활/편의,슈퍼마켓,37.5962792380385,126.907283052138
누리찬,서울특별시 강서구 양천로 691-12 691 제,생활/편의,반찬/식료품 소매업,37.5507027022276,126.873593398569
가인헬스클럽,서울특별시 강북구 삼양로 424 424,운동 시설,헬스장,37.6414268787951,127.01712018341
바른나무치과,서울특별시 강남구 압구정로 324 324,의료,치과의원,37.5284828381306,127.036994362118
세븐홍대창전점주,서울특별시 마포구 서강로9길 60 60,생활/편의,편의점,37.554642234915804,126.930523626816
이마트24경희대원룸점,서울특별시 동대문구 천장산로7길 62 62,생활/편의,편의점,37.598249222675,127.054478875091
미영사,서울특별시 마포구 동교로 125 125 우측에서,생활/편의,세탁소,37.5551283223856,126.91596914703
청아한의원,서울특별시 서초구 신반포로 100 100 신반포역상가,의료,한의원,37.5030892590036,126.995691107903
온누리,서울특별시 은평구 통일로 1010 1010 아이파크포레스트게이트오피스텔,생활/편의,세탁소,37.6327956190391,126.918578083735
행복세탁소,서울특별시 중구 다산로 32 32 남산타운,생활/편의,세탁소,37.547166232633,127.005680674067
한일한의원,서울특별시 구로구 중앙로8길 10-17 10,의료,한의원,37.5019122865917,126.864402118958
비센트,서울특별시 송파구 백제고분로39길 31 31 영서빌딩,생활/편의,슈퍼마켓,37.5068913589501,127.103418640252
대림세탁,서울특별시 동작구 사당로23길 137 137 대림,생활/편의,세탁소,37.4885888350009,126.972059806147
오응주,서울특별시 용산구 후암로 107 107 동동부화재동,운동 시설,헬스장,37.5534613887647,126.973563405144
반포치과의원,서울특별시 서초구 방배로 144 144,의료,치과의원,37.4866728691269,126.99461789043
씨유구로,서울특별시 구로구 디지털로31길 53 53 이앤씨벤처드림타워5차,생활/편의,편의점,37.485488739326,126.892416057932
GS25종로낙원점,서울특별시 종로구 수표로 123-4 123,생활/편의,편의점,37.5722495752346,126.988600882929
한양명품세탁소,서울특별시 송파구 가락로42길 9 9,생활/편의,세탁소,37.5123349135692,127.120833498605
연세진치과,서울특별시 강동구 양재대로 1393 1393 삼진빌딩,의료,치과의원,37.5304906716042,127.136837523233
씨유중랑송계공원점,서울특별시 중랑구 동일로95길 22 22,생활/편의,편의점,37.5849731238816,127.078448775882
백양사,서울특별시 성동구 왕십리로21길 30 30,생활/편의,세탁소,37.5603437155463,127.031690613667
원리햅필라테스,서울특별시 동대문구 장한로 158 158 대흥빌딩,운동 시설,요가/필라테스 학원,37.5743904415567,127.072188923172
영우전문대편의점주,서울특별시 서대문구 가좌로 134 134 명지전문대학,생활/편의,슈퍼마켓,37.5853631889916,126.925626684667
서울해치과,서울특별시 은평구 은평로 136 136 은경빌딩,의료,치과의원,37.6002639347127,126.923041279513
서울재활병원,서울특별시 은평구 갈현로11길 30 30,의료,일반병원,37.6056487955105,126.906342779353
하모니마트,서울특별시 금천구 독산로 18 18,생활/편의,슈퍼마켓,37.4489275456248,126.905058046934
한신크린파크,서울특별시 강동구 진황도로 99 99 강동한신휴플러스아파트,생활/편의,세탁소,37.5360310893938,127.137469937787
아이스무빙드렁큰아이스,서울특별시 관악구 낙성대역길 96 96 두번째점포,생활/편의,슈퍼마켓,37.4742155355256,126.963914198159
세븐일레븐월곡,서울특별시 성북구 오패산로17길 40 40 외,생활/편의,편의점,37.6079696137564,127.03386261409
사라산부인과의원,서울특별시 서대문구 신촌로35길 10 10 이편한세상신촌4단지,의료,산부인과 의원,37.5586458858008,126.955973682702
세븐일레븐마포동교로점,서울특별시 마포구 동교로25길 28 28,생활/편의,편의점,37.5583304505305,126.921171724923
피터팬,서울특별시 은평구 은평로 193 193 피터팬,생활/편의,슈퍼마켓,37.6017993513451,126.928996306697
금산사,서울특별시 서대문구 증가로12나길 63-6 63,생활/편의,세탁소,37.5817830582339,126.920728115277
