RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2026,11350,노원구,10300,공릉동,1,대지,0597,0018,중앙연립,20260209,15700,39.55,20.0,1.0,,,1986.0,연립다세대,중개거래,서울 노원구
2026,11110,종로구,12600,종로1가,1,대지,0024,0000,르메이에르종로타운1,20260209,29700,36.23,48.31,17.0,,,2007.0,오피스텔,중개거래,서울 종로구
2026,11650,서초구,10700,반포동,1,대지,0001,0000,래미안원베일리,20260209,735000,101.99,0.0,9.0,,,2023.0,아파트,중개거래,서울 서초구
2026,11290,성북구,13300,정릉동,,,,,,20260209,54500,164.58,114.0,,,,1989.0,단독다가구,중개거래,서울 성북구
2026,11710,송파구,10300,풍납동,1,대지,0506,0000,동아한가람1,20260209,149900,84.38,0.0,9.0,,,1995.0,아파트,중개거래,"경기 하남시, 서울 송파구"
2026,11470,양천구,10100,신정동,1,대지,0915,0001,오성아트빌라C동,20260209,22000,41.19,17.0,2.0,,,1994.0,연립다세대,중개거래,서울 관악구
2026,11170,용산구,12400,한강로1가,1,대지,0050,0001,용산파크자이,20260209,34000,31.83,43.49,31.0,,,2005.0,오피스텔,중개거래,서울 용산구
2026,11560,영등포구,11000,여의도동,1,대지,0044,0005,힐스테이트 여의도 파인루체,20260209,135000,76.4,109.59,10.0,,,2023.0,오피스텔,중개거래,서울 영등포구
2026,11230,동대문구,10500,답십리동,,,,,,20260209,40000,38.02,91.0,,,,1961.0,단독다가구,중개거래,서울 강동구
2026,11560,영등포구,12500,양평동1가,1,대지,0271,0000,영등포중흥에스클래스,20260209,47900,24.85,0.0,24.0,,,2021.0,아파트,중개거래,서울 영등포구
2026,11200,성동구,11400,성수동1가,1,대지,0013,0157,뚝섬현대,20260209,154000,84.22,0.0,10.0,,,1992.0,아파트,중개거래,서울 성동구
2026,11320,도봉구,10800,도봉동,1,대지,0062,0003,도봉 투웨니퍼스트 1단지,20260209,16800,29.66,38.77,3.0,,,2017.0,오피스텔,중개거래,서울 도봉구
